human_ori,gpt_ori,human_decompose,gpt_decompose,sim,human_judge_ori,gpt_judge_ori,human_judge_decompose,gpt_judge_decompose
The song recorded by Fergie that was produced by Polow da Don and was followed by Life Goes On was M.I.L.F.$.,The song recorded by Britney Spears that was produced by Max Martin and was followed by Toxic was Oops!... I Did It Again.,"program: 
    def program():
        fact_1 = Verify(""The song recorded by Fergie that was produced by Polow da Don is M.I.L.F.$."")
        fact_2 = Verify(""M.I.L.F.$ was followed by Life Goes On."")
        label = Predict(fact_1 and fact_2)","program:
    def program():
        fact_1 = Verify(""Oops!... I Did It Again was recorded by Britney Spears."")
        fact_2 = Verify(""Oops!... I Did It Again was produced by Max Martin."")
        fact_3 = Verify(""Oops!... I Did It Again was followed by Toxic."")
        label = Predict(fact_1 and fact_2 and fact_3)",0.7708333333333334,Humans,Humans,ChatGPT,ChatGPT
"Stephen King wrote the novel that the movie directed by Stanley Kubrick that was sampled in the album ""Where Blood and Fire Bring Rest"" was based on.","H.G. Wells wrote the novel that the movie directed by Alfred Hitchcock that was sampled in the album ""Where Blood and Fire Bring Rest"" was based on.","program: 
    def program():
        answer_1 = Question(""Who wrote the novel that the movie directed by Stanley Kubrick that was sampled in the album 'Where Blood and Fire Bring Rest' was based on?"")
        fact_1 = Verify(f""Stephen King wrote the novel that the movie was based on."")
        label = Predict(fact_1)","program: 
    def program():
        answer_1 = Question(""Which novel did H.G. Wells write?"")
        answer_2 = Question(""Which movie directed by Alfred Hitchcock was sampled in the album 'Where Blood and Fire Bring Rest'?"")
        fact_1 = Verify(f""The movie [answer_2] was based on the novel [answer_1] written by H.G. Wells."")
        label = Predict(fact_1)",0.82,Humans,Humans,Humans.,Humans.
Greater Swiss Mountain Dog and Harrier are both dog breeds.,Pomeranian and Dalmatian are both dog breeds.,"program: 
    def program():
        fact_1 = Verify(""Greater Swiss Mountain Dog is a dog breed."")
        fact_2 = Verify(""Harrier is a dog breed."")
        label = Predict(fact_1 and fact_2)","program: 
    def program():
        fact_1 = Verify(""Pomeranian is a dog breed."")
        fact_2 = Verify(""Dalmatian is a dog breed."")
        label = Predict(fact_1 and fact_2)",0.8378378378378378,Humans,Humans,Humans.,Humans.
No One's Gonna Love You appeared in the Ruben Fleischer film Zombieland.,《No One's Gonna Love You》出现在导演鲁本·弗莱彻的电影《僵尸乐园》中。,"program: 
    def program():
        fact_1 = Verify(""No One's Gonna Love You appeared in the Ruben Fleischer film Zombieland."")
        label = Predict(fact_1)","program: 
    def program():
        fact_1 = Verify(""《No One's Gonna Love You》 appeared in the movie directed by 鲁本·弗莱彻 named 《僵尸乐园》."")
        label = Predict(fact_1)",0.7169811320754716,Humans,Humans,Humans.,Humans.
"Before I Go to Sleep stars an Australian actress, producer and occasional singer.","Before I Go to Sleep stars a Maltese actor, director and occasional dancer.","program: 
    def program():
        fact_1 = Verify(""Before I Go to Sleep stars an Australian actress."")
        fact_2 = Verify(""Before I Go to Sleep stars a producer."")
        fact_3 = Verify(""Before I Go to Sleep stars an occasional singer."")
        label = Predict(fact_1 and fact_2 and fact_3)","program: 
    def program():
        fact_1 = Verify(""Before I Go to Sleep stars a Maltese actor."")
        fact_2 = Verify(""Before I Go to Sleep stars a Maltese director."")
        fact_3 = Verify(""Before I Go to Sleep stars a Maltese occasional dancer."")
        label = Predict(fact_1 and fact_2 and fact_3)",0.9210526315789473,Humans,Humans,ChatGPT,ChatGPT
Marko Dmitrović  is a player in the La Liga league.,Marko Dmitrović is a player in the Major League Baseball league.,"program: 
    def program():
        fact_1 = Verify(""Marko Dmitrović is a player in the La Liga league."")
        label = Predict(fact_1)","program: 
    def program():
        fact_1 = Verify(""Marko Dmitrović is a player in the Major League Baseball league."")
        label = Predict(fact_1)",0.9487179487179487,Humans,Humans,ChatGPT,Humans.
Eatza Pizza and Your Pie were not founded in the same state .,Dominos Pizza and Papa John's were not founded in the same state.,"program: 
    def program():
        answer_1 = Question(""Which state was Eatza Pizza founded in?"")
        answer_2 = Question(""Which state was Your Pie founded in?"")
        fact_1 = Verify(f""[answer_1] and [answer_2] are not the same state."")
        label = Predict(fact_1)","program: 
    def program():
        answer_1 = Question(""Which state was Dominos Pizza founded in?"")
        answer_2 = Question(""Which state was Papa John's founded in?"")
        fact_1 = Verify(f""[answer_1] and [answer_2] are not the same state."")
        label = Predict(fact_1)",0.8863636363636364,Humans,Humans,ChatGPT,Humans.
Carnegie Hall Tower is located in the same city as Staten Island.,Carnegie Hall Tower is located in the same city as Mount Everest.,"program: 
    def program():
        fact_1 = Verify(""Carnegie Hall Tower is located in the same city as Staten Island."")
        label = Predict(fact_1)","program: 
    def program():
        fact_1 = Verify(""Carnegie Hall Tower is located in the same city as Mount Everest."")
        label = Predict(fact_1)",0.85,Humans,Humans,Humans.,ChatGPT
"The star of the Irish film directed by Paddy Breathnach played Marcus Agrippa in the HBO drama series ""Rome"".","The star of the Irish film directed by Paddy Breathnach played Julius Caesar in the HBO drama series ""Rome"".","program: 
    def program():
        answer_1 = Question(""Who is the star of the Irish film directed by Paddy Breathnach?"")
        fact_1 = Verify(f""[answer_1] played Marcus Agrippa in the HBO drama series 'Rome'."")
        label = Predict(fact_1)","program: 
    def program():
        answer_1 = Question(""Who is the star of the Irish film directed by Paddy Breathnach?"")
        fact_1 = Verify(f""[answer_1] played Julius Caesar in the HBO drama series 'Rome'."")
        label = Predict(fact_1)",0.9148936170212766,Humans,Humans,Humans.,Humans.
"Gregg Rolie and Rob Tyner, are not a keyboardist.","Gregg Rolie and Rob Tyner, are not renowned keyboardists.","program: 
    def program():
        fact_1 = Verify(""Gregg Rolie is not a keyboardist."")
        fact_2 = Verify(""Rob Tyner is not a keyboardist."")
        label = Predict(fact_1 and fact_2)","program: 
    def program():
        fact_1 = Verify(""Gregg Rolie is not a renowned keyboardist."")
        fact_2 = Verify(""Rob Tyner is not a renowned keyboardist."")
        label = Predict(fact_1 and fact_2)",0.9714285714285714,Humans,Humans,ChatGPT,Humans.
